epoch,accuracy,loss,val_accuracy,val_loss,epoch,accuracy,,,,,,,
,0.6785066,0.890346378,0.269308955,1.964508772,0,0.6785066,,,,,epoch,Val_ accuracy,Test Accuracy
,0.698376,0.808692869,0.281202227,1.767501593,1,0.698376,,,,,0,0.269308955,0.6785066
,0.70951277,0.774156749,0.374172181,1.697199106,2,0.70951277,,,,,1,0.281202227,0.698376
,0.71398115,0.759355068,0.400916964,1.810612202,3,0.71398115,,,,,2,0.374172181,0.70951277
,0.7238251,0.736337287,0.468415678,1.64949441,4,0.7238251,,,,,3,0.400916964,0.71398115
,0.7369579,0.708654895,0.492557316,1.435426507,5,0.7369579,,,,,4,0.468415678,0.7238251
,0.7574215,0.621343456,0.551533461,1.204563618,6,0.7574215,,,,,5,0.492557316,0.7369579
,0.7875,0.530634555,0.641523606,1.004563618,7,0.7875,,,,,6,0.551533461,0.7574215
,0.804575,0.470632355,0.665223606,1.02413514,8,0.804575,,,,,7,0.641523606,0.7875
,0.822996494,0.4290727,0.684746104,0.806467342,9,0.822996494,,,,,8,0.665223606,0.804575
,0.85692757,0.337668373,0.726566116,0.722716394,10,0.85692757,,,,,9,0.684746104,0.822996494
,0.8968458,0.273821477,0.744092524,10.66216407,11,0.8968458,,,,,10,0.726566116,0.85692757
,0.92943925,0.203225778,0.775892866,0.607706308,12,0.92943925,,,,,11,0.744092524,0.8968458
,0.9474883,0.146458684,0.753142297,0.961661339,13,0.9474883,,,,,12,0.775892866,0.92943925
,0.9551986,0.132050587,0.79571646,0.708406496,14,0.9551986,,,,,13,0.753142297,0.9474883
,0.9612734,0.113167001,0.810683775,0.663080044,15,0.9612734,,,,,14,0.79571646,0.9551986
,0.9636098,0.102663593,0.837104082,0.414489842,16,0.9636098,,,,,15,0.810683775,0.9612734
,0.9698014,0.087337064,0.897938669,0.301260126,17,0.9698014,,,,,16,0.837104082,0.9636098
,0.9735981,0.076371282,0.844142795,0.597917157,18,0.9735981,,,,,17,0.897938669,0.9698014
,0.97202104,0.08267228,0.872750139,0.370204477,19,0.97202104,,,,,18,0.844142795,0.9735981
,0.9844042,0.04642692,0.892358509,0.305311143,20,0.9844042,,,,,19,0.872750139,0.97202104
,0.98452103,0.044409365,0.904285481,0.041811176,21,0.98452103,,,,,20,0.892358509,0.9844042
,,,,,,,,,,,21,0.904285481,0.98452103
